,To,Ti1,Ti2,Φo1,Φi1,Φi2,Φo2,Etot
2025-05-01 12:00:00+01:00,17.4,20,20,2364.9543762708445,177.37157822031332,177.37157822031332,2956.192970338556,197.07953135590373
2025-05-01 13:00:00+01:00,18.2,20,20,3751.1642371650796,281.3373177873809,281.3373177873809,4688.95529645635,312.59701976375663
2025-05-01 14:00:00+01:00,18.9,20,20,2079.7107198605936,155.97830398954451,155.97830398954451,2599.6383998257425,173.30922665504949
2025-05-01 15:00:00+01:00,18.3,20,20,1721.0719330130398,129.08039497597798,129.08039497597798,2151.3399162663,143.42266108441999
2025-05-01 16:00:00+01:00,17.5,20,20,2056.7655968460426,154.25741976345319,154.25741976345319,2570.956996057553,171.39713307050354
2025-05-01 17:00:00+01:00,16.1,20,20,1370.957352342592,102.8218014256944,102.8218014256944,1713.6966904282401,114.24644602854934
2025-05-01 18:00:00+01:00,16.0,20,20,707.0082282581878,53.025617119364085,53.025617119364085,883.7602853227348,58.91735235484899
2025-05-01 19:00:00+01:00,15.8,20,20,58.800000000000004,4.41,4.41,73.5,4.9
2025-05-01 20:00:00+01:00,14.8,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-01 21:00:00+01:00,13.5,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-01 22:00:00+01:00,12.9,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-01 23:00:00+01:00,12.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 00:00:00+01:00,12.3,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 01:00:00+01:00,11.2,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 02:00:00+01:00,10.1,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 03:00:00+01:00,8.7,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 04:00:00+01:00,5.8,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 05:00:00+01:00,7.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-02 06:00:00+01:00,8.6,20,20,344.40000000000003,25.83,25.83,430.50000000000006,28.700000000000003
2025-05-02 07:00:00+01:00,13.2,20,20,1894.4766608460623,142.08574956345467,142.08574956345467,2368.095826057578,157.8730550705052
2025-05-02 08:00:00+01:00,15.7,20,20,3586.5466987055343,268.99100240291506,268.99100240291506,4483.183373381918,298.8788915587945
2025-05-02 09:00:00+01:00,17.4,20,20,2718.4219513386934,203.88164635040198,203.88164635040198,3398.0274391733665,226.53516261155778
2025-05-02 10:00:00+01:00,18.4,20,20,3383.0307953662596,253.72730965246942,253.72730965246942,4228.788494207824,281.9192329471883
2025-05-02 11:00:00+01:00,19.5,20,20,3714.093135346001,278.55698515095,278.55698515095,4642.616419182501,309.5077612788334
2025-05-02 12:00:00+01:00,19.9,20,20,3850.1971235519563,288.7647842663967,288.7647842663967,4812.746404439946,320.84976029599636
2025-05-02 13:00:00+01:00,20.4,20,20,3729.765410307903,279.7324057730927,279.7324057730927,4662.206762884879,310.8137841923253
2025-05-02 14:00:00+01:00,20.4,20,20,3362.5358644284843,252.19018983213633,252.19018983213633,4203.169830535606,280.21132203570704
2025-05-02 15:00:00+01:00,20.2,20,20,2682.855492425904,201.21416193194275,201.21416193194275,3353.56936553238,223.57129103549198
2025-05-02 16:00:00+01:00,19.8,20,20,2073.417605369042,155.50632040267814,155.50632040267814,2591.7720067113023,172.78480044742017
2025-05-02 17:00:00+01:00,18.3,20,20,1256.4747940498105,94.23560955373578,94.23560955373578,1570.5934925622632,104.70623283748421
2025-05-02 18:00:00+01:00,17.2,20,20,674.9749015456489,50.623117615923654,50.623117615923654,843.718626932061,56.2479084621374
2025-05-02 19:00:00+01:00,15.7,20,20,67.19999999999999,5.039999999999999,5.039999999999999,84.0,5.6
2025-05-02 20:00:00+01:00,15.1,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-02 21:00:00+01:00,14.5,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-02 22:00:00+01:00,13.7,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-02 23:00:00+01:00,13.6,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 00:00:00+01:00,12.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 01:00:00+01:00,11.1,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 02:00:00+01:00,7.2,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 03:00:00+01:00,6.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 04:00:00+01:00,6.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 05:00:00+01:00,6.7,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-03 06:00:00+01:00,11.5,20,20,361.20000000000005,27.09,27.09,451.5,30.1
2025-05-03 07:00:00+01:00,13.9,20,20,1104.3592659516328,82.82694494637245,82.82694494637245,1380.4490824395411,92.02993882930274
2025-05-03 08:00:00+01:00,17.0,20,20,1971.7411848059728,147.88058886044794,147.88058886044794,2464.676481007466,164.31176540049773
2025-05-03 09:00:00+01:00,18.6,20,20,3719.7261646939933,278.97946235204944,278.97946235204944,4649.657705867491,309.9771803911661
2025-05-03 10:00:00+01:00,20.2,20,20,3341.528655754317,250.61464918157372,250.61464918157372,4176.9108196928955,278.46072131285973
2025-05-03 11:00:00+01:00,20.9,20,20,3721.5091512489466,279.113186343671,279.113186343671,4651.886439061183,310.1257626040789
2025-05-03 12:00:00+01:00,22.4,20,20,3857.622924603453,289.32171934525894,289.32171934525894,4822.028655754317,321.46857705028776
2025-05-03 13:00:00+01:00,22.9,20,20,3745.6198999633525,280.9214924972514,280.9214924972514,4682.024874954191,312.1349916636127
2025-05-03 14:00:00+01:00,23.0,20,20,3378.435991062337,253.38269932967523,253.38269932967523,4223.044988827921,281.53633258852807
2025-05-03 15:00:00+01:00,23.8,20,20,2697.4704573712274,202.31028430284204,202.31028430284204,3371.8380717140344,224.78920478093562
2025-05-03 16:00:00+01:00,23.7,20,20,2050.6177842800284,153.79633382100212,153.79633382100212,2563.2722303500354,170.88481535666904
2025-05-03 17:00:00+01:00,23.5,20,20,1262.4550992094769,94.68413244071075,94.68413244071075,1578.0688740118462,105.20459160078974
2025-05-03 18:00:00+01:00,20.8,20,20,693.1639014684081,51.9872926101306,51.9872926101306,866.4548768355102,57.76365845570068
2025-05-03 19:00:00+01:00,15.8,20,20,75.6,5.669999999999999,5.669999999999999,94.5,6.3
2025-05-03 20:00:00+01:00,14.5,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-03 21:00:00+01:00,12.4,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-03 22:00:00+01:00,12.8,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-03 23:00:00+01:00,12.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 00:00:00+01:00,10.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 01:00:00+01:00,9.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 02:00:00+01:00,8.1,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 03:00:00+01:00,8.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 04:00:00+01:00,7.9,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 05:00:00+01:00,8.6,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-04 06:00:00+01:00,13.2,20,20,487.20000000000005,36.54,36.54,609.0,40.6
2025-05-04 07:00:00+01:00,16.1,20,20,1915.1894300876495,143.6392072565737,143.6392072565737,2393.986787609562,159.5991191739708
2025-05-04 08:00:00+01:00,18.4,20,20,3566.8299523222936,267.512246424172,267.512246424172,4458.537440402867,297.23582936019113
2025-05-04 09:00:00+01:00,21.7,20,20,2733.153437319108,204.98650779893308,204.98650779893308,3416.441796648885,227.762786443259
2025-05-04 10:00:00+01:00,22.2,20,20,3403.6034228516455,255.27025671387338,255.27025671387338,4254.504278564556,283.63361857097044
2025-05-04 11:00:00+01:00,23.4,20,20,7228.7831446751115,542.1587358506333,542.1587358506333,9035.978930843889,602.3985953895926
2025-05-04 12:00:00+01:00,24.4,20,20,7687.683372370659,576.5762529277994,576.5762529277994,9609.604215463323,640.6402810308882
2025-05-04 13:00:00+01:00,24.8,20,20,6802.219652315683,510.16647392367616,510.16647392367616,8502.774565394604,566.8516376929736
2025-05-04 14:00:00+01:00,25.2,20,20,5329.527021401065,399.71452660507987,399.71452660507987,6661.908776751332,444.12725178342214
2025-05-04 15:00:00+01:00,25.1,20,20,3562.523240934327,267.1892430700745,267.1892430700745,4453.154051167909,296.87693674452726
2025-05-04 16:00:00+01:00,25.0,20,20,1723.9098145919263,129.29323609439447,129.29323609439447,2154.887268239908,143.65915121599386
2025-05-04 17:00:00+01:00,23.6,20,20,1275.4722071012475,95.66041553259355,95.66041553259355,1594.3402588765591,106.28935059177061
2025-05-04 18:00:00+01:00,21.8,20,20,703.0282813470992,52.72712110103243,52.72712110103243,878.785351683874,58.58569011225826
2025-05-04 19:00:00+01:00,19.4,20,20,84.0,6.299999999999999,6.299999999999999,105.0,7.0
2025-05-04 20:00:00+01:00,19.3,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-04 21:00:00+01:00,15.1,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-04 22:00:00+01:00,17.6,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-04 23:00:00+01:00,17.1,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 00:00:00+01:00,17.5,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 01:00:00+01:00,17.8,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 02:00:00+01:00,16.9,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 03:00:00+01:00,14.7,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 04:00:00+01:00,13.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-05 05:00:00+01:00,13.2,16,16,8.399999999999999,0.6299999999999999,0.6299999999999999,10.5,0.7
2025-05-05 06:00:00+01:00,13.9,20,20,235.20000000000002,17.64,17.64,294.0,19.6
2025-05-05 07:00:00+01:00,15.3,20,20,688.8000000000001,51.66,51.66,861.0000000000001,57.400000000000006
2025-05-05 08:00:00+01:00,16.3,20,20,1192.8000000000002,89.46,89.46,1491.0,99.4
2025-05-05 09:00:00+01:00,17.2,20,20,1670.9402529653132,125.32051897239847,125.32051897239847,2088.6753162066416,139.24502108044277
2025-05-05 10:00:00+01:00,18.2,20,20,3393.0844053233195,254.48133039924892,254.48133039924892,4241.355506654149,282.7570337769433
2025-05-05 11:00:00+01:00,20.5,20,20,6702.016166496818,502.6512124872613,502.6512124872613,8377.520208121023,558.5013472080682
2025-05-05 12:00:00+01:00,21.7,20,20,7137.560823675205,535.3170617756404,535.3170617756404,8921.951029594007,594.7967353062671
2025-05-05 13:00:00+01:00,22.8,20,20,6399.525340828273,479.96440056212043,479.96440056212043,7999.406676035342,533.2937784023561
2025-05-05 14:00:00+01:00,23.1,20,20,5246.9126685867095,393.51845014400317,393.51845014400317,6558.640835733387,437.2427223822258
2025-05-05 15:00:00+01:00,23.0,20,20,3470.047742623995,260.2535806967996,260.2535806967996,4337.559678279994,289.17064521866627
2025-05-05 16:00:00+01:00,22.6,20,20,1737.1186541516838,130.28389906137627,130.28389906137627,2171.398317689605,144.75988784597365
2025-05-05 17:00:00+01:00,22.2,20,20,1316.331761187059,98.72488208902942,98.72488208902942,1645.414701483824,109.69431343225493
2025-05-05 18:00:00+01:00,20.5,20,20,670.1610880393774,50.2620816029533,50.2620816029533,837.7013600492218,55.846757336614786
2025-05-05 19:00:00+01:00,17.7,20,20,92.4,6.93,6.93,115.5,7.7
2025-05-05 20:00:00+01:00,14.6,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-05 21:00:00+01:00,14.0,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-05 22:00:00+01:00,12.0,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-05 23:00:00+01:00,10.8,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 00:00:00+01:00,9.7,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 01:00:00+01:00,11.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 02:00:00+01:00,11.9,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 03:00:00+01:00,11.0,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 04:00:00+01:00,11.7,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-06 05:00:00+01:00,11.5,16,16,16.799999999999997,1.2599999999999998,1.2599999999999998,21.0,1.4
2025-05-06 06:00:00+01:00,12.6,20,20,394.79999999999995,29.609999999999996,29.609999999999996,493.5,32.9
2025-05-06 07:00:00+01:00,13.5,20,20,1147.3724719954755,86.05293539966065,86.05293539966065,1434.2155899943443,95.61437266628963
2025-05-06 08:00:00+01:00,14.1,20,20,1209.6,90.71999999999998,90.71999999999998,1512.0,100.8
2025-05-06 09:00:00+01:00,12.8,20,20,1679.1121434682002,125.93341076011501,125.93341076011501,2098.89017933525,139.92601195568335
2025-05-06 10:00:00+01:00,14.5,20,20,3358.7475112845464,251.90606334634094,251.90606334634094,4198.434389105683,279.89562594037886
2025-05-06 11:00:00+01:00,16.9,20,20,3738.498824087464,280.3874118065598,280.3874118065598,4673.12353010933,311.54156867395534
2025-05-06 12:00:00+01:00,18.1,20,20,3873.8395173029717,290.53796379772285,290.53796379772285,4842.299396628715,322.81995977524764
2025-05-06 13:00:00+01:00,17.7,20,20,3739.2152895028407,280.441146712713,280.441146712713,4674.019111878551,311.6012741252367
2025-05-06 14:00:00+01:00,18.2,20,20,2081.3703617016854,156.10277712762638,156.10277712762638,2601.7129521271067,173.4475301418071
2025-05-06 15:00:00+01:00,17.0,20,20,1715.1040190737908,128.6328014305343,128.6328014305343,2143.880023842238,142.9253349228159
2025-05-06 16:00:00+01:00,15.9,20,20,2588.3238519643355,194.12428889732516,194.12428889732516,3235.4048149554196,215.6936543303613
2025-05-06 17:00:00+01:00,15.0,20,20,1243.425863334956,93.25693975012167,93.25693975012167,1554.2823291686948,103.61882194457965
2025-05-06 18:00:00+01:00,14.3,20,20,310.79999999999995,23.309999999999995,23.309999999999995,388.5,25.9
2025-05-06 19:00:00+01:00,14.5,20,20,100.80000000000001,7.56,7.56,126.0,8.4
2025-05-06 20:00:00+01:00,14.6,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-06 21:00:00+01:00,13.9,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-06 22:00:00+01:00,13.6,20,20,0.0,0.0,0.0,0.0,0.0
2025-05-06 23:00:00+01:00,13.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 00:00:00+01:00,13.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 01:00:00+01:00,13.5,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 02:00:00+01:00,13.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 03:00:00+01:00,13.4,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 04:00:00+01:00,13.2,16,16,0.0,0.0,0.0,0.0,0.0
2025-05-07 05:00:00+01:00,13.1,16,16,8.399999999999999,0.6299999999999999,0.6299999999999999,10.5,0.7
2025-05-07 06:00:00+01:00,13.1,20,20,252.0,18.9,18.9,315.0,21.0
2025-05-07 07:00:00+01:00,13.1,20,20,705.5999999999999,52.919999999999995,52.919999999999995,882.0,58.8
2025-05-07 08:00:00+01:00,13.9,20,20,1209.6,90.71999999999998,90.71999999999998,1512.0,100.8
2025-05-07 09:00:00+01:00,15.5,20,20,2782.911754854203,208.7183816140652,208.7183816140652,3478.639693567754,231.90931290451692
2025-05-07 10:00:00+01:00,16.3,20,20,3385.4301008784378,253.90725756588282,253.90725756588282,4231.787626098047,282.11917507320317
2025-05-07 11:00:00+01:00,18.6,20,20,3760.9895818803457,282.0742186410259,282.0742186410259,4701.236977350432,313.4157984900288
2025-05-07 12:00:00+01:00,19.2,20,20,3888.5018808979585,291.63764106734686,291.63764106734686,4860.627351122448,324.0418234081632
